CustomerID,Age,Gender,TotalPurchases,TotalSpent,LastPurchaseDays,FavoriteCategory
C001,21,Female,8,2450,12,Clothing
C002,35,Male,15,7800,5,Electronics
C003,28,Female,3,950,60,Beauty
C004,42,Male,20,12500,3,Electronics
C005,24,Female,10,3200,18,Clothing
C006,31,Male,5,1800,45,Home
C007,39,Female,18,9200,7,Beauty
C008,26,Male,2,600,90,Sports
C009,45,Female,22,14800,2,Home
C010,23,Male,7,2100,25,Sports
C011,34,Female,12,5600,10,Clothing
C012,29,Male,4,1300,55,Electronics
C013,41,Female,16,8500,8,Beauty
C014,27,Male,9,2900,20,Sports
C015,36,Female,6,2400,35,Home
